"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
5639,2013,73.3746164514639,4,2015,"USGS_ClintonEssexFranklin2014"
352,2013,79.5033297010305,4,2015,"USGS_ClintonEssexFranklin2014"
6151,2017,82.9806705808942,4,2015,"USGS_ClintonEssexFranklin2014"
2659,2017,77.2924874569835,4,2015,"USGS_ClintonEssexFranklin2014"
4024,2014,98.2852078933263,4,2015,"USGS_ClintonEssexFranklin2014"
3929,2014,122.536687080806,4,2015,"USGS_ClintonEssexFranklin2014"
3429,2013,111.2577659525,4,2015,"USGS_ClintonEssexFranklin2014"
3402,2013,226.694679772033,4,2015,"USGS_ClintonEssexFranklin2014"
2089,2014,133.731799998459,4,2015,"USGS_ClintonEssexFranklin2014"
5224,2014,166.607202178583,4,2015,"USGS_ClintonEssexFranklin2014"
1901,2013,0,4,2015,"USGS_ClintonEssexFranklin2014"
2201,2013,0,3,2015,"USGS_ClintonEssexFranklin2014"
6196,2013,90.7010357682899,4,2015,"USGS_ClintonEssexFranklin2014"
3694,2013,100.609452844295,4,2015,"USGS_ClintonEssexFranklin2014"
5278,2013,0,2,2015,"USGS_ClintonEssexFranklin2014"
3391,2014,113.102143764862,4,2015,"USGS_ClintonEssexFranklin2014"
6547,2017,0,2,2015,"USGS_ClintonEssexFranklin2014"
6462,2014,20.1524171584515,3,2015,"USGS_ClintonEssexFranklin2014"
5551,2016,9.73636127992211,2,2015,"USGS_ClintonEssexFranklin2014"
580,2017,43.4541050837391,4,2015,"USGS_ClintonEssexFranklin2014"
1754,2016,99.7309299856496,4,2015,"USGS_ClintonEssexFranklin2014"
511,2014,108.52133518501,4,2015,"USGS_ClintonEssexFranklin2014"
5891,2014,0,2,2015,"USGS_ClintonEssexFranklin2014"
2981,2016,175.033026614784,4,2015,"USGS_ClintonEssexFranklin2014"
3670,2016,81.4137678235511,4,2015,"USGS_ClintonEssexFranklin2014"
6058,2016,95.7625577294957,4,2015,"USGS_ClintonEssexFranklin2014"
2517,2016,71.9330176003019,4,2015,"USGS_ClintonEssexFranklin2014"
1590,2016,35.5070751024999,6,2015,"USGS_ClintonEssexFranklin2014"
6657,2016,59.7890206005605,4,2015,"USGS_ClintonEssexFranklin2014"
1495,2014,47.7903495702091,4,2015,"USGS_ClintonEssexFranklin2014"
447,2014,96.7637948860168,4,2015,"USGS_ClintonEssexFranklin2014"
6729,2016,131.469092010197,4,2015,"USGS_ClintonEssexFranklin2014"
1464,2016,93.3850006456189,4,2015,"USGS_ClintonEssexFranklin2014"
1543,2016,211.823231509424,4,2015,"USGS_ClintonEssexFranklin2014"
6327,2013,285.738863949114,4,2015,"USGS_ClintonEssexFranklin2014"
